,Unnamed: 0,parl,id,date,speaker,text,token_count,topic_id,topic_name,topic_representation,topic_probability
1010,1161,bt,sp20_6149,2022-05-11, René Springer,"Sie verlegt den Schwerpunkt der deutschen Beteiligung von Mali in den Nachbarstaat Niger – nach Zahlen der Vereinten Nationen das am wenigsten entwickelte Land der Welt und zugleich doch reich. Es ist nämlich reich an Uran. Es ist die sechstgrößte Uranfördernation der Welt. Seit 1971 wird das Uranvorkommen in Niger von französischen Staatskonzernen ausgebeutet. Aktuell importiert Frankreich ein Viertel seines Urans aus Niger, um den Durst und den Hunger der heimischen Atomkraftwerke zu stillen. Aber dieser Uranabbau hat eben auch seine Folgen; denn die Abbaugebiete überziehen das Land der Tuareg fast vollständig und erzeugen dort Widerstand. Es kommt zu massiver Umweltverschmutzung, zu Krankheiten, zu verstrahltem Brunnenwasser und vor allem auch zu Austrocknung und Ausdörrung. Und wenn Frau Baerbock sich aus Niger zuschalten lässt und sagt, das liege an der Klimakrise, dann sagt sie nur die halbe Wahrheit.",137,0,0_deutschland_co2_energiewende_kernenergie,"['deutschland', 'co2', 'energiewende', 'kernenergie', 'gas', 'kernkraftwerke', 'kohlekraftwerke', 'emissionen', 'grüne', 'gigawatt']",1.0
1872,2131,ep,eu9_40199,2021-10-06,Guido Reil,"Frau Präsidentin, liebe Kolleginnen und Kollegen! Wir sprechen heute über ein völlig neues Phänomen: über Energiearmut. Vollkommen zu Recht: Wir erleben gerade, dass die Kraftstoff- und Heizkosten explodieren. Im letzten Winter waren 30 Millionen Europäer in kalten Wohnungen, und für diesen Winter steht uns noch Schlimmeres bevor. Und was will die EU tun? Sie will wieder einmal über einen Fonds Hunderte von Milliarden an die Bedürftigen verteilen – Geld, das natürlich wieder erzeugt wird, um die Probleme zu lösen, die sie selbst geschaffen hat. Denn es ist der Green Deal. Der Green Deal ist verantwortlich für die Probleme. Und was wir jetzt erleben, ist nur die Spitze des Eisbergs. Die Tonne CO2 wird jetzt gerade mal mit 25 Euro bepreist. Wenn wir die Ziele umsetzen wollen, müssen es mindestens 150 Euro sein. Das wird zu einer Explosion der Preise führen. Deswegen in aller Deutlichkeit: Der Green Deal ist das Ende des sozialen Friedens und des Wohlstands in Europa.",158,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1101,1252,bt,sp20_8573,2023-11-30,Dr. Michael Espendiller,"Sehr geehrter Herr Präsident! Sehr geehrte Kollegen! Liebe Zuschauer im Saal und bei Youtube! Die Fraktion Die Linke will die Schuldenbremse in den Jahren 2023 und 2024 aussetzen. Die SPD möchte das auch, genauso wie die Grünen. Und alle drei Parteien sind ebenfalls der Auffassung, dass die Schuldenbremse nicht mehr in die Zeit passt bzw. abgeschafft gehört. Dazu sagt die AfD klar und deutlich: Nein, die Schuldenbremse bleibt. Sie alle hier haben die Bürger dieses Landes jahrzehntelang finanziell wie Zitronen bis auf den letzten Tropfen ausgepresst. Sie unterhalten eine Armee von Finanzbeamten, die Ihnen dabei hilft, den Leuten noch den letzten Cent aus der Tasche zu ziehen. Überall wird einfach alles doppelt und dreifach besteuert. Sie gehen einkaufen: Zack, 19 Prozent Mehrwertsteuer gehen an den Fiskus. Sie gehen tanken: Zack, Sie zahlen die Erdölvorratsabgabe, Energiesteuer, CO2-Steuer, und dann auf das alles noch mal Mehrwertsteuer.",144,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
151,151,bt,sp19_813,2018-11-20,Heiko Wildberg,"Sehr geehrter Herr Präsident! Werte Kolleginnen und Kollegen! Der Haushalt des Umweltministeriums, der 2,3 Milliarden Euro schwere Einzelplan 16, wirft aus unserer Sicht viele Fragen auf. Die wichtigste davon betrifft die Finanzierung der Klimapolitik. Warum verschwenden wir letztlich Hunderte von Milliarden Euro, die gar nicht alle im Haushalt etatisiert sind? Warum verschwenden wir Hunderte Milliarden Euro an Steuern und Abgaben für eine Fantasie, ja eine Zwangsvorstellung von einem grünen Klimaparadies in einem Industriestaat? Eine trügerische Verheißung, die niemand je erleben wird. Es gibt außer ein paar vagen theoretischen Klimamodellen immer noch keinen wissenschaftlichen Beweis für die menschengemachte Klimaerwärmung. Die Bundesregierung ist nicht einmal in der Lage, anzugeben, wie hoch die vorindustrielle globale Durchschnittstemperatur sein soll, auf die sich unsere Klimaziele beziehen.",121,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1422,1573,bt,sp20_16851,2023-01-19,Dr. Rainer Kraft,"Ihre Unwissenheit verzerrt dabei auch Ihre Wahrnehmung. Sie sehen einen Braunkohletagebau, der wegmuss; wir sehen eine Wiege des Wohlstands. Sie sehen ein Kernkraftwerk, dessen Prinzip Sie nie verstanden haben; wir sehen einen Tempel der Moderne. Sie sehen ein Chemiewerk, von dem Sie sich bedroht fühlen; wir sehen eine Kathedrale des Fortschritts. Das Papier zur Nachhaltigkeit spricht von Nachhaltigkeit; aber das Handeln der Regierung spricht eine ganz andere Sprache. Folglich ist die Politik dieser Regierung nicht nachhaltig, und sie ist es zum Schaden des deutschen Volkes.",85,2,2_klimawandel_klima_klimawandels_wissenschaftler,"['klimawandel', 'klima', 'klimawandels', 'wissenschaftler', 'menschengemacht', 'erwärmung', 'hypothese', 'natürlich', 'millionen jahren', 'klimakatastrophe']",0.6050015987462962
1570,1829,bt,sp20_22417,2024-06-06,Carolin Bachmann,"Kehren wir die Migrationspolitik um, und starten wir endlich mit den Rückführungen von gewaltbereiten Islamisten und schaffen so sichere Räume für die Einheimischen in unseren Städten und Gemeinden. Vorfälle wie in Mannheim und Massenvergewaltigung müssen endlich aufhören, Herr Kollege! Stoppen wir die Energiewende und setzen auf kostengünstige Freiheitsenergien wie Kernkraft und Gas. Schaffen wir gemeinsam bessere Beteiligungsformen durch Volksabstimmungen und Bürgerentscheide, eine Mitmachpolitik vor Ort. Und statten wir die Kommunen endlich mit den Finanzmitteln aus, die ihnen die Selbstverwaltung ermöglichen, –",81,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
698,741,bt,sp19_188,2021-06-24 00:00:00,Leif-Erik Holm,"Ihre Kanzlerkandidatin Baerbock meinte ja vorhin, klimagerechter Wohlstand wäre der soziale Kitt für Europa. All Ihre utopischen Programme kosten nämlich unheimlich viel Geld, das alle Bürger werden aufbringen müssen. Und dieses Programm hier soll ja auch schon wieder eine halbe Billion Euro kosten. Wir sind laut Leopoldina schon bei Gesamtkosten von 7,5 Billionen Euro für die Energiewende. Also, der Steuerzahler darf weiter zittern, ebenso der Autofahrer: Die 16 Cent mehr pro Liter Sprit dürften nur der Anfang sein. Die Ex- und Importwirtschaft wird mit der Einführung von CO2-Zöllen neue Schwierigkeiten bekommen. Aber die beste Idee ist ja, dass Sie den Strompreis über den massiven Ausbau der erneuerbaren Energien senken wollen. Ja, das wird mit dem Börsenstrompreis funktionieren, wenn das Angebot stark genug ist, also Wind weht, Sonne scheint usw. Aber genau das bedeutet eben auch mehr Subventionen für die Betreiber der Anlagen. Und diese Subventionen, wer bezahlt die am Ende?",150,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
1503,1762,bt,sp20_20554,2024-09-26,Jan Wenzel Schmidt,"Statt unserer gebeutelten Wirtschaft unter die Arme zu greifen, wollen Sie lieber noch mehr Subventionen für Ihre Elektromobilität verschwenden. Sehen Sie es ein: Die Deutschen wollen mehrheitlich keine Elektroautos. Schon die bisherigen Subventionen haben nicht den gewünschten Erfolg erbracht. Weitere werden auch nicht helfen. Ohne Ihre ideologische Politik und ohne die Staatshörigkeit der Managerebene wäre VW nicht ins Wanken gekommen. Verbrennerautos statt E-Autos, das hätte unsere Schlüsselindustrie auch die nächsten Jahrzehnte gut überstehen lassen. Während der deutsche Steuerzahler dank Ihrer wirkungslosen Sanktionspolitik unter der Inflation leidet, wollen Sie das Steuergeld für noch mehr Windräder verpulvern. Auch hier zeigt sich, dass Ihre Energiewende gescheitert ist. Alle Windkraftanlagen in Deutschland haben im Jahr 2023 etwa 140 Terawattstunden Strom produziert, und das auch nur, wenn Wind weht und nicht zu viel Wind weht.",130,3,3_autoindustrie_synthetische kraftstoffe_elektromobilität_emissionen,"['autoindustrie', 'synthetische kraftstoffe', 'elektromobilität', 'emissionen', 'co2 emissionen', 'sogenannten verkehrswende', 'elektroautos', 'ideologische verkehrswende', 'verbrennungsmotoren', 'fahrzeuge']",0.3109875128726429
1200,1351,bt,sp20_10389,2023-09-29,Enrico Komning,"Im Geleitwort zu seinem Jahreswirtschaftsbericht 2022 schrieb Robert Habeck wörtlich – ich zitiere mit Erlaubnis der Präsidentin –: „Wir dürfen kein Wirtschaften mehr fördern, das zu fossilem Energieverbrauch, Umweltzerstörung und sozialer Ungerechtigkeit beiträgt.“ Zitat Ende. – Ein klassisches Scheunentor für links-grüne Willkür, ganz nach dem Motto: Was der Bundesregierung nicht in den ideologischen Kram passt, wird nicht gefördert. – Der Leidtragende einer solchen Politik ist – wie sollte es anders sein? – der Mittelstand. Nichtsdestotrotz ist der Bundesminister schon munter dabei, die Förderinstrumente im Sinne seiner ökosozialistischen Transformation umzubauen. Entsprechend lesen sich die Kriterien inzwischen fast aller Ihrer Förderprogramme, egal ob ZIM oder die Programme „Innovationskompetenz Ost“ und „Industrielle Gemeinschaftsforschung“. Es geht nur noch um Dekarbonisierung, Klimaschutz oder Treibhausgasneutralität.",125,-1,-1_euro_energiewende_co2_deutschland,"['euro', 'energiewende', 'co2', 'deutschland', 'milliarden euro', 'bürger', 'bundesregierung', 'politik', 'präsidentin', 'klima']",0.0
846,997,bt,sp20_2406,2022-09-30, Matthias Moosdorf,"Da träumen die, denen man hier beim Denken zuschauen kann, von Elektromobilität obendrauf, von Wasserstofftechnik, deren Wirkungsgrad so gering ist, dass sie mit Strompreisen über 5 Cent unrentabel wird. Meine Damen und Herren, in diese Energiewende wurde bisher fast 1 Billion Euro gegeben, und das Resultat ist nun, dass wir frieren sollen, stinken und trotzdem noch verarmen. Euro und Konsumklima fallen ins Bodenlose, Erzeugerpreise und Inflation sind auf einem Allzeithoch.",70,0,0_deutschland_co2_energiewende_kernenergie,"['deutschland', 'co2', 'energiewende', 'kernenergie', 'gas', 'kernkraftwerke', 'kohlekraftwerke', 'emissionen', 'grüne', 'gigawatt']",0.922327955612024
